Series;series_category
Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24);% of population ages 15-24
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+);% of population ages 15+
Net acquisition of financial assets (current LCU);current LCU
Net incurrence of liabilities, total (current LCU);current LCU
Net investment in nonfinancial assets (current LCU);current LCU
Net lending (+) / net borrowing (-) (current LCU);+
Grants and other revenue (current LCU);current LCU
Social contributions (current LCU);current LCU
Social contributions (% of revenue);% of revenue
Revenue, excluding grants (current LCU);current LCU
Taxes on exports (current LCU);current LCU
Taxes on exports (% of tax revenue);% of tax revenue
Taxes on goods and services (current LCU);current LCU
Taxes on goods and services (% value added of industry and services);% value added of industry and services
Customs and other import duties (current LCU);current LCU
Customs and other import duties (% of tax revenue);% of tax revenue
Taxes on international trade (current LCU);current LCU
Other taxes (current LCU);current LCU
Tax revenue (current LCU);current LCU
Taxes on income, profits and capital gains (current LCU);current LCU
Taxes on income, profits and capital gains (% of total taxes);% of total taxes
Compensation of employees (current LCU);current LCU
Goods and services expense (current LCU);current LCU
Interest payments (current LCU);current LCU
Other expense (current LCU);current LCU
Expense (current LCU);current LCU
Subsidies and other transfers (current LCU);current LCU
Primary government expenditures as a proportion of original approved budget (%);%
Human capital index (HCI) (scale 0-1);HCI
Human capital index (HCI), female (scale 0-1);HCI
Human capital index (HCI), lower bound (scale 0-1);HCI
Human capital index (HCI), female, lower bound (scale 0-1);HCI
Human capital index (HCI), male, lower bound (scale 0-1);HCI
Human capital index (HCI), male (scale 0-1);HCI
Human capital index (HCI), upper bound (scale 0-1);HCI
Human capital index (HCI), female, upper bound (scale 0-1);HCI
Human capital index (HCI), male, upper bound (scale 0-1);HCI
Ease of doing business rank (1=most business-friendly regulations);1=most business-friendly regulations
New businesses registered (number);number
Time to obtain an electrical connection (days);days
Power outages in firms in a typical month (number);number
Firms experiencing electrical outages (% of firms);% of firms
Value lost due to electrical outages (% of sales for affected firms);% of sales for affected firms
Investment in energy with private participation (current US$);current US$
Public private partnerships investment in energy (current US$);current US$
Statistical performance indicators (SPI): Overall score (scale 0-100);SPI
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100);SPI
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100);SPI
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100);SPI
Military expenditure (current LCU);current LCU
General government final consumption expenditure (constant LCU);constant LCU
Households and NPISHs Final consumption expenditure (constant LCU);constant LCU
Final consumption expenditure (constant LCU);constant LCU
Gross national expenditure deflator (base year varies by country);base year varies by country
Gross national expenditure (constant LCU);constant LCU
Exports of goods and services (constant LCU);constant LCU
Gross fixed capital formation, private sector (current LCU);current LCU
Gross fixed capital formation (current LCU);current LCU
Gross fixed capital formation (constant LCU);constant LCU
Changes in inventories (current US$);current US$
Changes in inventories (current LCU);current LCU
Changes in inventories (constant LCU);constant LCU
Gross capital formation (constant LCU);constant LCU
Imports of goods and services (constant LCU);constant LCU
External balance on goods and services (constant LCU);constant LCU
Agriculture, forestry, and fishing, value added (constant LCU);constant LCU
Manufacturing, value added (constant LCU);constant LCU
Industry (including construction), value added (constant LCU);including construction
Medium and high-tech manufacturing value added (% manufacturing value added);% manufacturing value added
Services, value added (constant LCU);constant LCU
Adjusted savings: particulate emission damage (current US$);current US$
Exports as a capacity to import (constant LCU);constant LCU
Discrepancy in expenditure estimate of GDP (constant LCU);constant LCU
Gross value added at basic prices (GVA) (constant LCU);GVA
Gross domestic income (constant LCU);constant LCU
GNI (constant LCU);constant LCU
GNI per capita (constant LCU);constant LCU
Taxes less subsidies on products (constant LCU);constant LCU
Terms of trade adjustment (constant LCU);constant LCU
Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative);%
Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative);%
Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative);%
Pupil-teacher ratio, primary;
Net intake rate in grade 1, female (% of official school-age population);% of official school-age population
Net intake rate in grade 1, male (% of official school-age population);% of official school-age population
Net intake rate in grade 1 (% of official school-age population);% of official school-age population
Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative);%
Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative);%
Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative);%
Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative);%
Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative);%
Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative);%
Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative);%
Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative);%
Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative);%
Secondary education, pupils (% female);% female
Pupil-teacher ratio, lower secondary;
Pupil-teacher ratio, secondary;
Pupil-teacher ratio, upper secondary;
Secondary education, vocational pupils;
Secondary education, vocational pupils (% female);% female
School enrollment, secondary (% net);% net
School enrollment, secondary, female (% net);% net
School enrollment, secondary, male (% net);% net
Progression to secondary school, female (%);%
Progression to secondary school, male (%);%
Progression to secondary school (%);%
Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative);%
Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative);%
Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);%
Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative);%
Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);%
Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);%
Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative);%
Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative);%
Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);%
Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative);%
Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative);%
Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative);%
Government expenditure per student, secondary (% of GDP per capita);% of GDP per capita
Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49);own health care, major household purchases, and visiting family
Women Business and the Law Index Score (scale 1-100);scale 1-100
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49);% of ever-partnered women ages 15-49
Women who believe a husband is justified in beating his wife when she argues with him (%);%
Women who believe a husband is justified in beating his wife when she burns the food (%);%
Women who believe a husband is justified in beating his wife when she goes out without telling him (%);%
Women who believe a husband is justified in beating his wife when she neglects the children (%);%
Women who believe a husband is justified in beating his wife (any of five reasons) (%);any of five reasons
Women who believe a husband is justified in beating his wife when she refuses sex with him (%);%
Demand for family planning satisfied by modern methods (% of married women with demand for family planning);% of married women with demand for family planning
People using safely managed drinking water services, rural (% of rural population);% of rural population
People using safely managed drinking water services (% of population);% of population
Children (0-14) living with HIV;0-14
Adults (ages 15-49) newly infected with HIV;ages 15-49
Children (ages 0-14) newly infected with HIV;ages 0-14
Adults (ages 15+) and children (ages 0-14) newly infected with HIV;ages 15+
Young people (ages 15-24) newly infected with HIV;ages 15-24
Hospital beds (per 1,000 people);per 1,000 people
Use of insecticide-treated bed nets (% of under-5 population);% of under-5 population
ARI treatment (% of children under 5 taken to a health provider);% of children under 5 taken to a health provider
Prevalence of underweight, weight for age, female (% of children under 5);% of children under 5
Prevalence of underweight, weight for age, male (% of children under 5);% of children under 5
Prevalence of underweight, weight for age (% of children under 5);% of children under 5
Maternal mortality ratio (national estimate, per 100,000 live births);national estimate, per 100,000 live births
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding);% of children under 5 receiving oral rehydration and continued feeding
Diarrhea treatment (% of children under 5 who received ORS packet);% of children under 5 who received ORS packet
Prevalence of overweight, weight for height, female (% of children under 5);% of children under 5
Prevalence of overweight, weight for height, male (% of children under 5);% of children under 5
Prevalence of overweight, weight for height (% of children under 5);% of children under 5
Prevalence of stunting, height for age, female (% of children under 5);% of children under 5
Prevalence of stunting, height for age, male (% of children under 5);% of children under 5
Prevalence of stunting, height for age (% of children under 5);% of children under 5
Prevalence of wasting, weight for height, female (% of children under 5);% of children under 5
Prevalence of wasting, weight for height, male (% of children under 5);% of children under 5
Prevalence of wasting, weight for height (% of children under 5);% of children under 5
Prevalence of severe wasting, weight for height, female (% of children under 5);% of children under 5
Prevalence of severe wasting, weight for height, male (% of children under 5);% of children under 5
Prevalence of severe wasting, weight for height (% of children under 5);% of children under 5
Tuberculosis treatment success rate (% of new cases);% of new cases
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%);$ 2017 PPP
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%);$ 2017 PPP
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%);%
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%);$ 2017 PPP
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%);$ 2017 PPP
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%);%
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%);%
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%);%
UHC service coverage index;
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%);$ 2017 PPP
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%);$ 2017 PPP
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%);%
Multidimensional poverty headcount ratio (UNDP) (% of population);UNDP
Poverty headcount ratio at national poverty lines (% of population);% of population
Average transaction cost of sending remittances to a specific country (%);%
Employment to population ratio, ages 15-24, female (%) (national estimate);%
Employment to population ratio, ages 15-24, male (%) (national estimate);%
Employment to population ratio, ages 15-24, total (%) (national estimate);%
Female share of employment in senior and middle management (%);%
Employment to population ratio, 15+, female (%) (national estimate);%
Employment to population ratio, 15+, male (%) (national estimate);%
Employment to population ratio, 15+, total (%) (national estimate);%
Labor force participation rate for ages 15-24, female (%) (national estimate);%
Labor force participation rate for ages 15-24, male (%) (national estimate);%
Labor force participation rate for ages 15-24, total (%) (national estimate);%
Labor force with advanced education, female (% of female working-age population with advanced education);% of female working-age population with advanced education
Labor force with advanced education, male (% of male working-age population with advanced education);% of male working-age population with advanced education
Labor force with advanced education (% of total working-age population with advanced education);% of total working-age population with advanced education
Labor force with basic education, female (% of female working-age population with basic education);% of female working-age population with basic education
Labor force with basic education, male (% of male working-age population with basic education);% of male working-age population with basic education
Labor force with basic education (% of total working-age population with basic education);% of total working-age population with basic education
Labor force participation rate, female (% of female population ages 15+) (national estimate);% of female population ages 15+
Ratio of female to male labor force participation rate (%) (national estimate);%
Labor force participation rate, male (% of male population ages 15+) (national estimate);% of male population ages 15+
Labor force participation rate, total (% of total population ages 15+) (national estimate);% of total population ages 15+
Labor force with intermediate education, female (% of female working-age population with intermediate education);% of female working-age population with intermediate education
Labor force with intermediate education, male (% of male working-age population with intermediate education);% of male working-age population with intermediate education
Labor force with intermediate education (% of total working-age population with intermediate education);% of total working-age population with intermediate education
Part time employment, female (% of total female employment);% of total female employment
Part time employment, male (% of total male employment);% of total male employment
Part time employment, total (% of total employment);% of total employment
Unemployment, youth female (% of female labor force ages 15-24) (national estimate);% of female labor force ages 15-24
Unemployment, youth male (% of male labor force ages 15-24) (national estimate);% of male labor force ages 15-24
Unemployment, youth total (% of total labor force ages 15-24) (national estimate);% of total labor force ages 15-24
Unemployment with advanced education, female (% of female labor force with advanced education);% of female labor force with advanced education
Unemployment with advanced education, male (% of male labor force with advanced education);% of male labor force with advanced education
Unemployment with advanced education (% of total labor force with advanced education);% of total labor force with advanced education
Unemployment with basic education, female (% of female labor force with basic education);% of female labor force with basic education
Unemployment with basic education, male (% of male labor force with basic education);% of male labor force with basic education
Unemployment with basic education (% of total labor force with basic education);% of total labor force with basic education
Unemployment with intermediate education, female (% of female labor force with intermediate education);% of female labor force with intermediate education
Unemployment with intermediate education, male (% of male labor force with intermediate education);% of male labor force with intermediate education
Unemployment with intermediate education (% of total labor force with intermediate education);% of total labor force with intermediate education
Share of youth not in education, employment or training, female (% of female youth population);% of female youth population
Share of youth not in education, employment or training, male (% of male youth population);% of male youth population
Share of youth not in education, employment or training, total (% of youth population);% of youth population
Unemployment, female (% of female labor force) (national estimate);% of female labor force
Unemployment, male (% of male labor force) (national estimate);% of male labor force
Unemployment, total (% of total labor force) (national estimate);% of total labor force
Prevalence of moderate or severe food insecurity in the population (%);%
Consumption of iodized salt (% of households);% of households
Prevalence of severe food insecurity in the population (%);%
Wanted fertility rate (births per woman);births per woman
Female headed households (% of households with a female head);% of households with a female head
Women who were first married by age 15 (% of women ages 20-24);% of women ages 20-24
Women who were first married by age 18 (% of women ages 20-24);% of women ages 20-24
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant);% of women ages 15-19 who have had children or are currently pregnant
Completeness of birth registration, female (%);%
Completeness of birth registration, male (%);%
Completeness of birth registration, rural (%);%
Completeness of birth registration, urban (%);%
Binding coverage, manufactured products (%);%
Bound rate, simple mean, manufactured products (%);%
Binding coverage, all products (%);%
Bound rate, simple mean, all products (%);%
Binding coverage, primary products (%);%
Bound rate, simple mean, primary products (%);%
Medium and high-tech exports (% manufactured exports);% manufactured exports
Market capitalization of listed domestic companies (current US$);current US$
Market capitalization of listed domestic companies (% of GDP);% of GDP
Listed domestic companies, total;
Stocks traded, total value (current US$);current US$
Stocks traded, total value (% of GDP);% of GDP
Trained teachers in lower secondary education, female (% of female teachers);% of female teachers
Trained teachers in lower secondary education, male (% of male teachers);% of male teachers
Trained teachers in lower secondary education (% of total teachers);% of total teachers
Trained teachers in upper secondary education, female (% of female teachers);% of female teachers
Trained teachers in upper secondary education, male (% of male teachers);% of male teachers
Trained teachers in upper secondary education (% of total teachers);% of total teachers
PPG, IBRD (DOD, current US$);DOD, current US$
Present value of external debt (% of exports of goods, services and primary income);% of exports of goods, services and primary income
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);PPG + PNG
PPG, bonds (NFL, current US$);NFL, current US$
PPG, commercial banks (NFL, current US$);NFL, current US$
Commercial banks and other lending (PPG + PNG) (NFL, current US$);PPG + PNG
PPG, other private creditors (NFL, current US$);NFL, current US$
PPG, private creditors (NFL, US$);NFL, US$
Net financial flows, RDB nonconcessional (NFL, current US$);NFL, current US$
Bank capital to assets ratio (%);%
Wholesale price index (2010 = 100);2010 = 100
Risk premium on lending (lending rate minus treasury bill rate, %);lending rate minus treasury bill rate, %
Claims on other sectors of the domestic economy (% of GDP);% of GDP
Domestic credit provided by financial sector (% of GDP);% of GDP
Research and development expenditure (% of GDP);% of GDP
Investment in transport with private participation (current US$);current US$
Public private partnerships investment in transport (current US$);current US$
Patent applications, nonresidents;
Patent applications, residents;
Trademark applications, nonresident, by count;
Trademark applications, resident, by count;
Financial intermediary services indirectly Measured (FISIM) (current LCU);FISIM
Financial intermediary services indirectly Measured (FISIM) (constant LCU);FISIM
Adjusted net savings, including particulate emission damage (current US$);current US$
Pupil-teacher ratio, preprimary;
Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49);% of women age 15-49
Low-birthweight babies (% of births);% of births
Income share held by second 20%;
Income share held by third 20%;
Income share held by fourth 20%;
Income share held by highest 20%;
Income share held by highest 10%;
Proportion of people living below 50 percent of median income (%);%
Income share held by lowest 10%;
Income share held by lowest 20%;
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population);2017 PPP
Poverty gap at $2.15 a day (2017 PPP) (%);2017 PPP
Gini index;
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population);2017 PPP
Poverty gap at $3.65 a day (2017 PPP) (%);2017 PPP
Multidimensional poverty headcount ratio (World Bank) (% of population);World Bank
Poverty headcount ratio at societal poverty line (% of population);% of population
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population);2017 PPP
Poverty gap at $6.85 a day (2017 PPP) (%);2017 PPP
Average transaction cost of sending remittances from a specific country (%);%
Prosperity gap (average shortfall from a prosperity standard of $25/day);average shortfall from a prosperity standard of $25/day
Researchers in R&D (per million people);per million people
Technicians in R&D (per million people);per million people
Adequacy of social protection and labor programs (% of total welfare of beneficiary households);% of total welfare of beneficiary households
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits);% of total SPL benefits
Coverage of social protection and labor programs (% of population);% of population
Coverage of unemployment benefits and ALMP (% of population);% of population
Coverage of unemployment benefits and ALMP in poorest quintile (% of population);% of population
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population);% of population
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population);% of population
Coverage of unemployment benefits and ALMP in 4th quintile (% of population);% of population
Coverage of unemployment benefits and ALMP in richest quintile (% of population);% of population
Coverage of social safety net programs (% of population);% of population
Coverage of social safety net programs in poorest quintile (% of population);% of population
Coverage of social safety net programs in 2nd quintile (% of population);% of population
Coverage of social safety net programs in 3rd quintile (% of population);% of population
Coverage of social safety net programs in 4th quintile (% of population);% of population
Coverage of social safety net programs in richest quintile (% of population);% of population
Adequacy of social insurance programs (% of total welfare of beneficiary households);% of total welfare of beneficiary households
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits);% of total social insurance benefits
Coverage of social insurance programs (% of population);% of population
Coverage of social insurance programs in poorest quintile (% of population);% of population
Coverage of social insurance programs in 2nd quintile (% of population);% of population
Coverage of social insurance programs in 3rd quintile (% of population);% of population
Coverage of social insurance programs in 4th quintile (% of population);% of population
Coverage of social insurance programs in richest quintile (% of population);% of population
Net financial flows, IMF concessional (NFL, current US$);NFL, current US$
PNG, bonds (NFL, current US$);NFL, current US$
Net official flows from UN agencies, UNECE (current US$);current US$
Central government debt, total (current LCU);current LCU
Central government debt, total (% of GDP);% of GDP
Industrial design applications, nonresident, by count;
Industrial design applications, resident, by count;
Railways, goods transported (million ton-km);million ton-km
Railways, passengers carried (million passenger-km);million passenger-km
Chemicals (% of value added in manufacturing);% of value added in manufacturing
Food, beverages and tobacco (% of value added in manufacturing);% of value added in manufacturing
Machinery and transport equipment (% of value added in manufacturing);% of value added in manufacturing
Other manufacturing (% of value added in manufacturing);% of value added in manufacturing
Textiles and clothing (% of value added in manufacturing);% of value added in manufacturing
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%);%
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold;%
Primary school age children out-of-school (%);%
Children out of school, primary, female;
Children out of school, female (% of female primary school age);% of female primary school age
Children out of school, primary, male;
Children out of school, male (% of male primary school age);% of male primary school age
Adolescents out of school, female (% of female lower secondary school age);% of female lower secondary school age
Adolescents out of school, male (% of male lower secondary school age);% of male lower secondary school age
Adolescents out of school (% of lower secondary school age);% of lower secondary school age
Number of surgical procedures (per 100,000 population);per 100,000 population
Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day);2017 PPP $ per day
Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%);%
Survey mean consumption or income per capita, total population (2017 PPP $ per day);2017 PPP $ per day
Annualized average growth rate in per capita real survey mean consumption or income, total population (%);%
International tourism, number of departures;
Adequacy of social safety net programs (% of total welfare of beneficiary households);% of total welfare of beneficiary households
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits);% of total safety net benefits
Completeness of death registration with cause-of-death information (%);%
Net official flows from UN agencies, UNCDF (current US$);current US$
Net official flows from UN agencies, UNCOVID (current US$);current US$
Net official flows from UN agencies, UNRWA (current US$);current US$
School enrollment, primary, female (% net);% net
School enrollment, primary, male (% net);% net
Adjusted net enrollment rate, primary, female (% of primary school age children);% of primary school age children
Adjusted net enrollment rate, primary, male (% of primary school age children);% of primary school age children
S&P Global Equity Indices (annual % change);annual % change
Rail lines (total route-km);total route-km
Arms exports (SIPRI trend indicator values);SIPRI trend indicator values
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%);%
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold;%
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold;%
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%);%
Female primary school age children out-of-school (%);%
Male primary school age children out-of-school (%);%
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households);% of total welfare of beneficiary households
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits);% of total U/ALMP benefits
Investment in water and sanitation with private participation (current US$);current US$
Public private partnerships investment in water and sanitation (current US$);current US$
